Riga;Canzone;Artista;Genere;Prompt;Listens;Version
1;You see I'm online;Torjordbo;Indie Rock;driving rhythms, groovy bass, dark vibe, punchy drums, emotional vocals;8200;5
2;Take Off JH 1988;JosH - Jos van Hout NL;Indie Rock;indie rock, melancholic yet driving, 110 BPM, jangly guitar, delay/reverb vocals;4300;5
3;Whatever Works;A1mix;Indie Rock;alt-rock, detached vocals, crunchy guitars, moody mid-tempo, ironic tone;196000;4.5
4;Pressure;The Cinderbloc Choir;Indie Rock;anthemic rock, energetic guitars, explosive chorus, layered vocals;2700;5
5;I am Thinking of You;Mak Morra;Indie Rock;indie rock, studio quality, catchy chorus, emotional tone;2400;5
6;Shines;Suburban Homesick Alien;Indie Rock;pop/indie, expressive guitar phrasing, harmonic textures, melancholic feel;1900;5
7;Sleepless Satellites;Noxus;Indie Rock;atmospheric indie rock, nostalgic, minimal drums, haunting vibe;6300;5
8;Tiny Text Seesaw;Sika Bura;Indie Rock;lo-fi indie, introspective, dreamy textures, conversational vocals;13000;5
9;heart to the heartless;bleeder;Indie Rock;emotional indie rock, raw vocals, melancholic mood;8000;4.5
10;Hymn to a Joy;Ben Grain;Indie Rock;upbeat indie rock, punchy drums, melodic hooks, energetic chorus;9200;5
11;It My Life my way;TenBrahthum;Indie Rock;indie rock, acoustic/electric mix, catchy melody, tambourine;2800;5
12;I want you;ALEQUIE & Southern Rock;Indie Rock;rock/indie, heavy guitars, emotional vocals, dynamic chorus;1900;5
13;Eyes Everywhere;Aigusa;Indie Rock;dark indie rock, female vocal, intense chorus, dramatic structure;1800;5
14;broken compass;ari;Indie Rock;synth indie, disco-influenced, punchy beat, retro vibe;156000;4.5
15;Static Romance;Sociobloke & Indie Voice;Indie Rock;groove-driven indie, tight drums, catchy riffs, cool vocals;141000;5
16;low light (ft. Bleeder);astronaut;Indie Rock;lo-fi indie rock, bedroom vibe, raw vocal, minimal production;8600;5
17;Still Friends After All;Disciplinarian;Indie Rock;indie rock, layered guitars, synth textures, dramatic finale;2000;5
18;Lead Me Into the Fire;The Quiet Revolt;Indie Rock;garage indie rock, gritty guitars, sensual vocals;1400;5
19;Voltage;John Grace;Indie Rock;indie rock, energetic, modern production;1300;5
20;Mr Nice Guy;xyloshum;Indie Rock;indie rock, groovy bass, distorted guitars, dynamic vocals;5800;5
21;Lost Love;Sterling Dreams;Indie Rock;soft indie rock, melancholic, emotional vocals;1200;5
22;Love's Chessboard;leo_reflect et al.;Indie Rock;indie rock, lyrical, methodical rhythm, dramatic feel;898;5
23;!GOATED!;ATMTA;Indie Rock;emo rock, distorted guitars, trippy vibe, energetic;127000;5
24;Gun to My Head;Kremlyk & Untitled Persona;Indie Rock;alternative indie rock, unstable emotional tone, dry vocals, glitch textures;8100;5
25;summer me;ALICE;Indie Rock;jangle pop indie, high tempo, shimmering guitars, nostalgic bright mood;16000;5
26;Price Tags;BRADEN ALL CAPS;Indie Rock;garage rock, driving rhythm, distorted guitars, punchy drums;911000;4.5
27;Sorry I Stayed;heavy nova;Indie Rock;heavy garage punk, down-tuned guitars, gritty vocals, punchy drums;8600;5
